date,product_id,product_name,product_category,store_id,city,region,supplier_id,units_sold,demand,opening_inventory,closing_inventory,unit_cost,selling_price,supplier_lead_time_days,supplier_reliability,reorder_point,reorder_quantity,promotion_flag,holiday_flag,weather_index,stockout_flag,supplier_delay_flag,returned_units,holding_cost,revenue,lost_sales_value
2024-01-01,P-001,Smart Sensor,Electronics,S-01,Toronto,North America,SUP-01,30,30,204,792,85.0,145.0,8,0.96,234,616,0,0,-0.049925910986252896,0,0,2,53.86,4350.0,0.0
2024-01-01,P-001,Smart Sensor,Electronics,S-02,London,North America,SUP-02,20,20,388,801,85.0,145.0,13,0.9,377,432,0,0,0.36544406436407834,0,0,1,54.47,2900.0,0.0
2024-01-01,P-001,Smart Sensor,Electronics,S-03,Lagos,Africa,SUP-03,14,14,356,614,85.0,145.0,23,0.86,506,272,0,0,1.1289722927208916,0,0,0,41.75,2030.0,0.0
2024-01-01,P-001,Smart Sensor,Electronics,S-04,Accra,Africa,SUP-04,19,19,298,279,85.0,145.0,11,0.93,245,0,0,0,0.543154268305195,0,0,0,18.97,2755.0,0.0
2024-01-01,P-001,Smart Sensor,Electronics,S-05,Berlin,Europe,SUP-01,27,27,296,269,85.0,145.0,6,0.96,160,0,0,0,0.6312882258385404,0,0,0,18.29,3915.0,0.0
2024-01-01,P-001,Smart Sensor,Electronics,S-06,Paris,Europe,SUP-02,25,25,411,713,85.0,145.0,15,0.9,387,327,0,0,0.9682783545914808,0,0,0,48.48,3625.0,0.0
2024-01-01,P-002,Industrial Pump,Machinery,S-01,Toronto,North America,SUP-02,8,8,203,195,420.0,690.0,11,0.9,141,0,1,0,-0.46235179266456716,0,0,0,65.52,5520.0,0.0
2024-01-01,P-002,Industrial Pump,Machinery,S-02,London,North America,SUP-03,7,7,368,361,420.0,690.0,22,0.86,211,0,0,0,0.6904853540677682,0,0,0,121.3,4830.0,0.0
2024-01-01,P-002,Industrial Pump,Machinery,S-03,Lagos,Africa,SUP-04,5,5,234,229,420.0,690.0,8,0.93,62,0,0,0,0.4465311760299441,0,0,0,76.94,3450.0,0.0
2024-01-01,P-002,Industrial Pump,Machinery,S-04,Accra,Africa,SUP-01,7,7,205,198,420.0,690.0,9,0.96,71,0,0,0,1.2992282977860654,0,0,0,66.53,4830.0,0.0
2024-01-01,P-002,Industrial Pump,Machinery,S-05,Berlin,Europe,SUP-02,6,6,322,316,420.0,690.0,16,0.9,133,0,0,0,-0.5294927090638024,0,0,0,106.18,4140.0,0.0
2024-01-01,P-002,Industrial Pump,Machinery,S-06,Paris,Europe,SUP-03,8,8,443,435,420.0,690.0,32,0.86,255,0,0,0,-0.6397515327497477,0,1,0,146.16,5520.0,0.0
2024-01-01,P-003,Safety Gloves,Safety,S-01,Toronto,North America,SUP-03,47,47,378,1404,8.0,16.0,31,0.86,1514,1073,0,0,-0.812941095310326,0,1,0,8.99,752.0,0.0
2024-01-01,P-003,Safety Gloves,Safety,S-02,London,North America,SUP-04,49,49,385,1368,8.0,16.0,14,0.93,679,1031,0,0,-1.674682944704357,0,0,1,8.76,784.0,0.0
2024-01-01,P-003,Safety Gloves,Safety,S-03,Lagos,Africa,SUP-01,32,32,373,342,8.0,16.0,6,0.96,232,0,0,0,-1.1849437664170246,0,0,1,2.19,512.0,0.0
2024-01-01,P-003,Safety Gloves,Safety,S-04,Accra,Africa,SUP-02,48,48,392,1078,8.0,16.0,15,0.9,577,734,0,0,-0.040762526135434025,0,1,0,6.9,768.0,0.0
2024-01-01,P-003,Safety Gloves,Safety,S-05,Berlin,Europe,SUP-03,42,42,318,1256,8.0,16.0,20,0.86,884,979,0,0,-0.11863832610988256,0,0,1,8.04,672.0,0.0
2024-01-01,P-003,Safety Gloves,Safety,S-06,Paris,Europe,SUP-04,55,55,214,1266,8.0,16.0,14,0.93,631,1107,0,0,0.18323443722190613,0,0,0,8.1,880.0,0.0
2024-01-01,P-004,Control Valve,Machinery,S-01,Toronto,North America,SUP-04,13,13,406,394,110.0,195.0,10,0.93,171,0,0,0,-1.107045682043488,0,0,1,34.67,2535.0,0.0
2024-01-01,P-004,Control Valve,Machinery,S-02,London,North America,SUP-01,18,18,301,283,110.0,195.0,6,0.96,109,0,0,0,0.09058490690174555,0,0,0,24.9,3510.0,0.0
2024-01-01,P-004,Control Valve,Machinery,S-03,Lagos,Africa,SUP-02,15,15,315,300,110.0,195.0,15,0.9,202,0,0,0,0.9159025423560131,0,0,0,26.4,2925.0,0.0
2024-01-01,P-004,Control Valve,Machinery,S-04,Accra,Africa,SUP-03,20,20,280,357,110.0,195.0,20,0.86,263,96,0,0,0.5381154370039261,0,0,1,31.42,3900.0,0.0
2024-01-01,P-004,Control Valve,Machinery,S-05,Berlin,Europe,SUP-04,17,17,229,213,110.0,195.0,11,0.93,170,0,0,0,0.09048978162787422,0,0,1,18.74,3315.0,0.0
2024-01-01,P-004,Control Valve,Machinery,S-06,Paris,Europe,SUP-01,13,13,430,418,110.0,195.0,14,0.96,200,0,0,0,-2.147289029738655,0,0,1,36.78,2535.0,0.0
2024-01-01,P-005,Data Logger,Electronics,S-01,Toronto,North America,SUP-01,19,19,391,372,125.0,220.0,5,0.96,85,0,0,0,-0.09426255425255699,0,0,0,37.2,4180.0,0.0
2024-01-01,P-005,Data Logger,Electronics,S-02,London,North America,SUP-02,15,15,353,339,125.0,220.0,12,0.9,188,0,0,0,-1.1715666288253417,0,0,1,33.9,3300.0,0.0
2024-01-01,P-005,Data Logger,Electronics,S-03,Lagos,Africa,SUP-03,7,7,288,281,125.0,220.0,20,0.86,237,0,0,0,-0.37615607123009925,0,0,0,28.1,1540.0,0.0
2024-01-01,P-005,Data Logger,Electronics,S-04,Accra,Africa,SUP-04,10,10,402,392,125.0,220.0,10,0.93,128,0,0,0,1.0127158178198286,0,0,0,39.2,2200.0,0.0
2024-01-01,P-005,Data Logger,Electronics,S-05,Berlin,Europe,SUP-01,11,11,327,316,125.0,220.0,6,0.96,96,0,0,0,2.8140838632647833,0,0,0,31.6,2420.0,0.0
2024-01-01,P-005,Data Logger,Electronics,S-06,Paris,Europe,SUP-02,15,15,299,284,125.0,220.0,13,0.9,191,0,0,0,1.191142953088865,0,0,0,28.4,3300.0,0.0
2024-01-01,P-006,Lubricant Pack,Consumables,S-01,Toronto,North America,SUP-02,38,38,301,1072,18.0,36.0,10,0.9,388,809,0,0,-0.23685026450968424,0,0,0,15.44,1368.0,0.0
2024-01-01,P-006,Lubricant Pack,Consumables,S-02,London,North America,SUP-03,34,34,241,208,18.0,36.0,29,0.86,1125,900,0,0,0.8638280136981883,0,1,1,3.0,1224.0,0.0
2024-01-01,P-006,Lubricant Pack,Consumables,S-03,Lagos,Africa,SUP-04,28,28,204,838,18.0,36.0,12,0.93,365,662,0,0,1.1774118889776937,0,0,0,12.07,1008.0,0.0
2024-01-01,P-006,Lubricant Pack,Consumables,S-04,Accra,Africa,SUP-01,23,23,329,307,18.0,36.0,8,0.96,247,0,0,0,0.989583934594853,0,0,1,4.42,828.0,0.0
2024-01-01,P-006,Lubricant Pack,Consumables,S-05,Berlin,Europe,SUP-02,43,43,419,967,18.0,36.0,13,0.9,452,589,0,0,0.7307746911386448,0,0,2,13.92,1548.0,0.0
2024-01-01,P-006,Lubricant Pack,Consumables,S-06,Paris,Europe,SUP-03,26,26,197,916,18.0,36.0,22,0.86,714,745,0,0,-1.013717366440399,0,0,0,13.19,936.0,0.0
2024-01-02,P-001,Smart Sensor,Electronics,S-01,Toronto,North America,SUP-01,26,26,792,767,85.0,145.0,9,0.96,265,0,0,0,0.3043667290302598,0,0,1,52.16,3770.0,0.0
2024-01-02,P-001,Smart Sensor,Electronics,S-02,London,North America,SUP-02,32,32,801,769,85.0,145.0,15,0.9,439,0,0,0,0.846583985843404,0,0,0,52.29,4640.0,0.0
2024-01-02,P-001,Smart Sensor,Electronics,S-03,Lagos,Africa,SUP-03,14,14,614,601,85.0,145.0,18,0.86,386,0,0,0,-0.14752868024035293,0,0,1,40.87,2030.0,0.0
2024-01-02,P-001,Smart Sensor,Electronics,S-04,Accra,Africa,SUP-04,23,23,279,256,85.0,145.0,13,0.93,277,323,0,0,-0.8222500172903203,0,0,0,17.41,3335.0,0.0
2024-01-02,P-001,Smart Sensor,Electronics,S-05,Berlin,Europe,SUP-01,27,27,269,242,85.0,145.0,7,0.96,194,0,0,0,2.327653100346085,0,0,0,16.46,3915.0,0.0
2024-01-02,P-001,Smart Sensor,Electronics,S-06,Paris,Europe,SUP-02,22,22,713,691,85.0,145.0,15,0.9,363,0,0,0,-1.2516472141061394,0,0,0,46.99,3190.0,0.0
2024-01-02,P-002,Industrial Pump,Machinery,S-01,Toronto,North America,SUP-02,8,8,195,187,420.0,690.0,14,0.9,135,0,0,0,0.054353585390382264,0,0,0,62.83,5520.0,0.0
2024-01-02,P-002,Industrial Pump,Machinery,S-02,London,North America,SUP-03,2,2,361,359,420.0,690.0,18,0.86,174,0,0,0,0.5211672557321126,0,0,0,120.62,1380.0,0.0
2024-01-02,P-002,Industrial Pump,Machinery,S-03,Lagos,Africa,SUP-04,8,8,229,221,420.0,690.0,8,0.93,83,0,1,0,0.7494338997277404,0,0,0,74.26,5520.0,0.0
2024-01-02,P-002,Industrial Pump,Machinery,S-04,Accra,Africa,SUP-01,5,5,198,193,420.0,690.0,3,0.96,25,0,0,0,-0.35801668807442916,0,0,0,64.85,3450.0,0.0
2024-01-02,P-002,Industrial Pump,Machinery,S-05,Berlin,Europe,SUP-02,11,11,316,305,420.0,690.0,15,0.9,123,0,0,0,-1.06975241128969,0,0,0,102.48,7590.0,0.0
2024-01-02,P-002,Industrial Pump,Machinery,S-06,Paris,Europe,SUP-03,8,8,435,427,420.0,690.0,20,0.86,167,0,0,0,0.1601905933170753,0,0,0,143.47,5520.0,0.0
2024-01-02,P-003,Safety Gloves,Safety,S-01,Toronto,North America,SUP-03,53,53,1404,1352,8.0,16.0,23,0.86,1171,0,0,0,0.34770845245095694,0,0,1,8.65,848.0,0.0
2024-01-02,P-003,Safety Gloves,Safety,S-02,London,North America,SUP-04,45,45,1368,1324,8.0,16.0,10,0.93,516,0,0,0,0.006339062362268442,0,0,1,8.47,720.0,0.0
